cl,cluster_id,cluster_id_label,supertype_id,supertype_label,supertype_id_label,subclass_id,subclass_label,subclass_id_label,class_id,class_label,class_id_label,neighborhood,anatomical_annotation,notes,CCF_broad.freq,CCF_acronym.freq,v3.size,v2.size,multiome.size,F,M,sex.bias,Dark,Light,nt_type_label,nt.markers,nt_type_combo_label,np.markers,cluster.markers.combo,merfish.markers.combo,cluster.TF.markers.combo,cluster.markers.combo (within subclass),CTX.cluster_id,CTX.cluster_label,CTX.supertype_id,CTX.supertype_label,CTX.subclass_id,CTX.subclass_id,CTX.neighborhood_id,CTX.neighborhood_label,CTX.size,taxonomy_id,cell_set_accession.cluster,cell_set_accession.supertype,cell_set_accession.subclass,cell_set_accession.class
1032,1368,1368 CEA-AAA-BST Six3 Sp9 Gaba_5,377,CEA-AAA-BST Six3 Sp9 Gaba_5,0377 CEA-AAA-BST Six3 Sp9 Gaba_5,80,CEA-AAA-BST Six3 Sp9 Gaba,080 CEA-AAA-BST Six3 Sp9 Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,CEA AAA BST,,"sAMY:0.56,CTXsp:0.28","CEAm:0.22,BMAa:0.21,STR:0.15,IA:0.14,MEA:0.11",73,67,0,0.39,0.61,,0.1,0.9,GABA,"Gad2:9.47,Gad1:7.58,Slc32a1:6.86,Ddc:3.56",GABA,,"Glis3,Pax6,6430628N08Rik,Lbhd2","Glis3,Pax6,Scn5a,Wls,Six3,Esyt3","Glis3,Pax6,Six3,Myt1l,Zbtb7c","Glis3,B130024G19Rik,Six3",,,,,,,,,,CCN202307220,CS20230722_CLUS_1368,CS20230722_SUPT_0377,CS20230722_SUBC_080,CS20230722_CLAS_11
1017,1369,1369 CEA-AAA-BST Six3 Sp9 Gaba_6,378,CEA-AAA-BST Six3 Sp9 Gaba_6,0378 CEA-AAA-BST Six3 Sp9 Gaba_6,80,CEA-AAA-BST Six3 Sp9 Gaba,080 CEA-AAA-BST Six3 Sp9 Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,AAA,,"STRv:0.37,NA:0.15,OLF:0.13,PAL:0.11,sAMY:0.1","ACB:0.22,STR:0.1,PIR:0.1,OT:0.09,SI:0.09,AAA:0.06,FS:0.06,CP:0.06,OLF:0.03",90,30,0,0.44,0.56,,0.11,0.89,GABA,"Gad2:10.59,Gad1:9.05,Slc32a1:8.51",GABA,"Penk:9,Npy:8.7,Sst:8.5,Cck:7.5,Cort:5,Nts:4.8,Cartpt:3.8","Adora2a,Cort,Six3","C1ql1,Hpgd,Six3,Penk","Six3,Mafb,Nr4a3,Pparg,Rxrg",C1ql1,,,,,,,,,,CCN202307220,CS20230722_CLUS_1369,CS20230722_SUPT_0378,CS20230722_SUBC_080,CS20230722_CLAS_11
1046,1370,1370 CEA-AAA-BST Six3 Sp9 Gaba_7,379,CEA-AAA-BST Six3 Sp9 Gaba_7,0379 CEA-AAA-BST Six3 Sp9 Gaba_7,80,CEA-AAA-BST Six3 Sp9 Gaba,080 CEA-AAA-BST Six3 Sp9 Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,BST CEA,,"PAL:0.34,sAMY:0.26,NA:0.15,STRv:0.09","BST:0.28,ACB:0.09,CEAm:0.09,IA:0.09,LSv:0.07,STR:0.07,CEAc:0.05,aco:0.04,CEAl:0.04",173,22,0,0.47,0.53,,0.1,0.9,GABA,"Gad2:9.82,Gad1:7.64,Slc32a1:7.48",GABA,"Penk:5.7,Nts:3.9","Six3,C1ql3,Tll1,Cmbl","Six3,C1ql3,Tll1,Vwa5b1,Penk,Glra3","Six3,Sp9,Nr2f2,Foxg1,Zbtb7c,Bcl11b","C1ql3,Csrp2",,,,,,,,,,CCN202307220,CS20230722_CLUS_1370,CS20230722_SUPT_0379,CS20230722_SUBC_080,CS20230722_CLAS_11
1038,1371,1371 CEA-AAA-BST Six3 Sp9 Gaba_8,380,CEA-AAA-BST Six3 Sp9 Gaba_8,0380 CEA-AAA-BST Six3 Sp9 Gaba_8,80,CEA-AAA-BST Six3 Sp9 Gaba,080 CEA-AAA-BST Six3 Sp9 Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,AAA,,"OLF:0.32,CTXsp:0.27,sAMY:0.18,NA:0.11","OLF:0.16,AAA:0.13,CTXsp:0.13,PIR:0.09,STR:0.08,EPv:0.06,EPd:0.05,FS:0.04,BMAa:0.03,CP:0.03,ec:0.03",65,53,0,0.43,0.57,,0.14,0.86,GABA,"Gad2:10.08,Gad1:8.9,Slc32a1:8.25",GABA,,"A730046J19Rik,Pax6,Kit,Tmem215","Pax6,Tmem215,Bmpr1b,Lncenc1","Pax6,Foxp2,Pou6f2,Rxrg,Pou3f3,Tshz1","Lncenc1,Gpr101",189,189_L4/5 IT CTX_4,39,Slc22a4,16,L4/5 IT CTX,4,L4_5_6_IT_Car3,3,CCN202307220,CS20230722_CLUS_1371,CS20230722_SUPT_0380,CS20230722_SUBC_080,CS20230722_CLAS_11
1024,1372,1372 CEA-AAA-BST Six3 Sp9 Gaba_8,380,CEA-AAA-BST Six3 Sp9 Gaba_8,0380 CEA-AAA-BST Six3 Sp9 Gaba_8,80,CEA-AAA-BST Six3 Sp9 Gaba,080 CEA-AAA-BST Six3 Sp9 Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,AAA,,"CTXsp:0.41,OLF:0.31,Isocortex:0.13","EPv:0.16,PIR:0.15,BMAa:0.09,CTXsp:0.07,OLF:0.07,BLAa:0.05,AON:0.04,EPd:0.04,PAA:0.04,STR:0.03,IA:0.03,AAA:0.02,AIp2/3:0.02,CEAc:0.02",178,199,0,0.52,0.48,,0.12,0.88,GABA,"Gad2:10.11,Gad1:8.61,Slc32a1:8.11",GABA,"Cck:4.7,Sst:3.2","Pax6,Qrfpr,Col8a1,Tmem215","Pax6,Qrfpr,Col8a1,Tmem215","Pax6,Foxp2,Sp8,Rxrg,Nr4a1,Tshz2","Cbln2,Epha6",189,189_L4/5 IT CTX_2,39,Slc22a4,16,L4/5 IT CTX,4,L4_5_6_IT_Car3,22,CCN202307220,CS20230722_CLUS_1372,CS20230722_SUPT_0380,CS20230722_SUBC_080,CS20230722_CLAS_11
1095,1373,1373 ACB-BST-FS D1 Gaba_1,381,ACB-BST-FS D1 Gaba_1,0381 ACB-BST-FS D1 Gaba_1,81,ACB-BST-FS D1 Gaba,081 ACB-BST-FS D1 Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,ACB BST,,"PAL:0.33,NA:0.24,sAMY:0.18,STRv:0.14","BST:0.33,STR:0.18,ACB:0.14,CEAl:0.12,LSv:0.12",42,0,0,0.55,0.45,,0.05,0.95,GABA,"Gad2:10.53,Gad1:9.22,Slc32a1:7.73",GABA,"Pdyn:8.2,Penk:8.1,Cartpt:6.6,Sst:5,Tac1:4.2","Baz1a,Chrm5,Acan","Pdyn,Fosl2,Tacr3,Six3,Cartpt,Penk","Fosb,Six3,Foxp2,Nr2f1,Klf5,Rorb",Baz1a,,,,,,,,,,CCN202307220,CS20230722_CLUS_1373,CS20230722_SUPT_0381,CS20230722_SUBC_081,CS20230722_CLAS_11
1199,1374,1374 ACB-BST-FS D1 Gaba_1,381,ACB-BST-FS D1 Gaba_1,0381 ACB-BST-FS D1 Gaba_1,81,ACB-BST-FS D1 Gaba,081 ACB-BST-FS D1 Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,ACB BST,,"PAL:0.34,NA:0.3,sAMY:0.15,LSX:0.11","BST:0.34,STR:0.24,LSv:0.11,ACB:0.09,CEAl:0.08",238,0,0,0.45,0.55,,0.05,0.95,GABA,"Gad2:9.73,Gad1:7.73,Slc32a1:7.43",GABA,"Penk:8.1,Pdyn:4.6,Cartpt:3.1","Ifi27l2a,Pdyn,Penk,Tspan18","Pdyn,Six3,Col23a1,Penk,Tafa1,Cartpt,G630016G05Rik,Chodl,Nwd2","Six3,Foxp2,Nr2f1,Klf5,Bcl11b,Tox3","Ptprk,Chodl,Zbbx",,,,,,,,,,CCN202307220,CS20230722_CLUS_1374,CS20230722_SUPT_0381,CS20230722_SUBC_081,CS20230722_CLAS_11
1200,1375,1375 ACB-BST-FS D1 Gaba_1,381,ACB-BST-FS D1 Gaba_1,0381 ACB-BST-FS D1 Gaba_1,81,ACB-BST-FS D1 Gaba,081 ACB-BST-FS D1 Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,ACB BST,,"STRv:0.54,NA:0.15,PAL:0.13","ACB:0.54,BST:0.1,STR:0.07,LSv:0.07,CP:0.06",139,0,0,0.4,0.6,,0.11,0.89,GABA,"Gad2:9.47,Gad1:7.84,Slc32a1:7.16,Ddc:4.32",GABA,"Pdyn:7,Tac1:6,Penk:5.7,Cartpt:4.8,Cck:3","Dio3,Isl1,Tmem132c,Col6a1","Dio3,Isl1,Tmem132c,Crym,Dlk1","Isl1,Foxp2,Meis1,Carhsp1,Zbtb16,Bcl11b","Col6a1,Dlk1",,,,,,,,,,CCN202307220,CS20230722_CLUS_1375,CS20230722_SUPT_0381,CS20230722_SUBC_081,CS20230722_CLAS_11
1185,1376,1376 ACB-BST-FS D1 Gaba_2,382,ACB-BST-FS D1 Gaba_2,0382 ACB-BST-FS D1 Gaba_2,81,ACB-BST-FS D1 Gaba,081 ACB-BST-FS D1 Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,ACB BST FS AAA,,"STRv:0.79,NA:0.1","ACB:0.71,FS:0.06,STR:0.05",132,0,0,0.58,0.42,,0.09,0.91,GABA,"Gad2:10,Gad1:7.51,Slc32a1:7.38",GABA,"Cck:6.2,Tac1:5.7,Pdyn:5.1","Fst,Isl1,St3gal1,Ptprk","Isl1,Crym,Tmem215,Lhfp,Slc32a1","Isl1,Foxp2,Meis1,Carhsp1,Zim1,Bcl11b",Lhfp,,,,,,,,,,CCN202307220,CS20230722_CLUS_1376,CS20230722_SUPT_0382,CS20230722_SUBC_081,CS20230722_CLAS_11
1195,1377,1377 ACB-BST-FS D1 Gaba_2,382,ACB-BST-FS D1 Gaba_2,0382 ACB-BST-FS D1 Gaba_2,81,ACB-BST-FS D1 Gaba,081 ACB-BST-FS D1 Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,ACB BST FS AAA,,"PAL:0.38,STRv:0.23,NA:0.19","SI:0.27,ACB:0.16,BST:0.1,STR:0.1,aco:0.06,AAA:0.05,OT:0.05,LSv:0.04",95,2,0,0.69,0.31,,0.09,0.91,GABA,"Gad2:9.29,Gad1:8.17,Slc32a1:7.32",GABA,"Penk:8.8,Nts:7.4,Crh:4.5,Cartpt:3.3","Crh,Isl1,Prkcq","Crh,Isl1,Prkcq","Isl1,Foxp2,Zic1,Elk3,Bcl11b,Rarb",Glp1r,,,,,,,,,,CCN202307220,CS20230722_CLUS_1377,CS20230722_SUPT_0382,CS20230722_SUBC_081,CS20230722_CLAS_11
1201,1378,1378 ACB-BST-FS D1 Gaba_2,382,ACB-BST-FS D1 Gaba_2,0382 ACB-BST-FS D1 Gaba_2,81,ACB-BST-FS D1 Gaba,081 ACB-BST-FS D1 Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,ACB BST FS AAA,,"STRv:0.55,PAL:0.17,NA:0.13","ACB:0.51,SI:0.11,STR:0.09,LSv:0.07,BST:0.04",784,25,0,0.62,0.38,,0.09,0.91,GABA,"Gad2:9.89,Slc32a1:7.53,Gad1:7.5",GABA,"Nts:4.4,Pdyn:3.4","Isl1,Foxp2,Tmem215,Fgf10","Isl1,Fgf10,Bcl11b,Nr2f1,Rmst,Ecel1,Ntng1","Isl1,Foxp2,Bcl11b,Nr2f1,Zim1,Zfp521","Ecel1,Drd1,Stk32b",,,,,,,,,,CCN202307220,CS20230722_CLUS_1378,CS20230722_SUPT_0382,CS20230722_SUBC_081,CS20230722_CLAS_11
1203,1379,1379 ACB-BST-FS D1 Gaba_2,382,ACB-BST-FS D1 Gaba_2,0382 ACB-BST-FS D1 Gaba_2,81,ACB-BST-FS D1 Gaba,081 ACB-BST-FS D1 Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,ACB BST FS AAA,,"STRv:0.26,PAL:0.21,NA:0.2,sAMY:0.18","FS:0.17,STR:0.14,AAA:0.11,ACB:0.09,SI:0.09,BST:0.06,CEAm:0.06,PAL:0.05,CP:0.04",66,45,0,0.32,0.68,,0.13,0.87,GABA,"Gad2:9.72,Slc32a1:7.74,Gad1:7.55",GABA,"Penk:4.6,Pdyn:4.4","A730046J19Rik,Sostdc1,Isl1","Isl1,Klhl14,Bcl11b,C1ql3,Lmo1","Isl1,Sox13,Rxrg,Meis1,Tox3,Pbx3",Sostdc1,,,,,,,,,,CCN202307220,CS20230722_CLUS_1379,CS20230722_SUPT_0382,CS20230722_SUBC_081,CS20230722_CLAS_11
1202,1380,1380 ACB-BST-FS D1 Gaba_3,383,ACB-BST-FS D1 Gaba_3,0383 ACB-BST-FS D1 Gaba_3,81,ACB-BST-FS D1 Gaba,081 ACB-BST-FS D1 Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,ACB BST FS AAA,,"LSX:0.65,PAL:0.16","LSv:0.65,BST:0.16",34,0,0,0.41,0.59,,0.15,0.85,GABA,"Gad2:9.25,Slc32a1:7.22,Gad1:6.82,Ddc:6.43",GABA,,"Ifi27l2a,Isl1,Fgf10,Meis2","Isl1,Fgf10,Tmem215,Pou3f1,Irs4","Isl1,Barx2,Bcl11b,Foxp2,Nr2f1,Rreb1","Glra1,Fgf10",,,,,,,,,,CCN202307220,CS20230722_CLUS_1380,CS20230722_SUPT_0383,CS20230722_SUBC_081,CS20230722_CLAS_11
1196,1381,1381 ACB-BST-FS D1 Gaba_3,383,ACB-BST-FS D1 Gaba_3,0383 ACB-BST-FS D1 Gaba_3,81,ACB-BST-FS D1 Gaba,081 ACB-BST-FS D1 Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,ACB BST FS AAA,,"PAL:0.35,LSX:0.34,NA:0.19","BST:0.35,LSv:0.34,STR:0.17",163,0,0,0.43,0.57,,0.03,0.97,Glut-GABA,"Gad2:9.62,Slc32a1:7.03,Slc17a8:6.06,Gad1:5.87,Ddc:3.48",Glut-GABA,Nts:5.7,"Mbnl3,Slc17a8,Galr1,Nts","Slc17a8,Qrfpr,Isl1,Nts","Isl1,Barx2,Bcl11b,Foxp2,Nr2f2,Meis2","Galr1,Nts",,,,,,,,,,CCN202307220,CS20230722_CLUS_1381,CS20230722_SUPT_0383,CS20230722_SUBC_081,CS20230722_CLAS_11
1197,1382,1382 ACB-BST-FS D1 Gaba_3,383,ACB-BST-FS D1 Gaba_3,0383 ACB-BST-FS D1 Gaba_3,81,ACB-BST-FS D1 Gaba,081 ACB-BST-FS D1 Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,ACB BST FS AAA,,"PAL:0.39,STRv:0.3,NA:0.15","ACB:0.3,BST:0.28,LSv:0.11,SI:0.1,STR:0.08",464,15,0,0.55,0.45,,0.07,0.93,Glut-GABA,"Gad2:9.91,Slc17a8:8.89,Gad1:8.09,Slc32a1:7.46",Glut-GABA,Nts:5.8,"Slc17a8,Mbnl3,Cntn6","Slc17a8,Isl1,Nts,Prok2","Isl1,Foxp2,Bcl11b,Nr2f2,Tox,Foxg1","Mbnl3,Prok2,Nts",,,,,,,,,,CCN202307220,CS20230722_CLUS_1382,CS20230722_SUPT_0383,CS20230722_SUBC_081,CS20230722_CLAS_11
1198,1383,1383 ACB-BST-FS D1 Gaba_3,383,ACB-BST-FS D1 Gaba_3,0383 ACB-BST-FS D1 Gaba_3,81,ACB-BST-FS D1 Gaba,081 ACB-BST-FS D1 Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,ACB BST FS AAA,,"PAL:0.47,LSX:0.39","BST:0.47,LSv:0.39",45,1,0,0.3,0.7,,0,1,GABA,"Gad2:9.32,Slc32a1:7.16,Gad1:6.25",GABA,Penk:4.6,"Mbnl3,Radx,A730046J19Rik","Slc17a8,Qrfpr,Isl1,Htr2a","Isl1,Barx2,Bcl11b,Meis2,L3mbtl4",Radx,,,,,,,,,,CCN202307220,CS20230722_CLUS_1383,CS20230722_SUPT_0383,CS20230722_SUBC_081,CS20230722_CLAS_11
1825,1384,1384 CEA-BST Ebf1 Pdyn Gaba_1,384,CEA-BST Ebf1 Pdyn Gaba_1,0384 CEA-BST Ebf1 Pdyn Gaba_1,82,CEA-BST Ebf1 Pdyn Gaba,082 CEA-BST Ebf1 Pdyn Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,CEA BST,,"PAL:0.35,sAMY:0.34,NA:0.15","CEAm:0.17,CEAl:0.16,BST:0.15,GPe:0.1,CP:0.09,STR:0.07,SI:0.05,PAL:0.05",4864,72,0,0.51,0.49,,0.2,0.8,GABA,"Gad2:9.74,Gad1:8.1,Slc32a1:8",GABA,"Penk:3.6,Pdyn:3.4","Isl1,Ebf1,6430628N08Rik,Rmst","Isl1,Ebf1,Bcl11b,Ddc,Prlr,Dchs2,Penk","Isl1,Ebf1,Bcl11b,Nr2f1,Zim1,Tox3","Syndig1l,Nr2f1,Ankfn1",192,192_L4/5 IT CTX_8,26,Tshz2,16,L4/5 IT CTX,4,L4_5_6_IT_Car3,1,CCN202307220,CS20230722_CLUS_1384,CS20230722_SUPT_0384,CS20230722_SUBC_082,CS20230722_CLAS_11
1826,1385,1385 CEA-BST Ebf1 Pdyn Gaba_1,384,CEA-BST Ebf1 Pdyn Gaba_1,0384 CEA-BST Ebf1 Pdyn Gaba_1,82,CEA-BST Ebf1 Pdyn Gaba,082 CEA-BST Ebf1 Pdyn Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,CEA BST,,"sAMY:0.61,PAL:0.23","CEAm:0.36,CEAl:0.25,GPe:0.16,st:0.09",81,0,0,0.58,0.42,,0.23,0.77,GABA,"Gad2:9.85,Gad1:7.93,Slc32a1:7.66,Ddc:3",GABA,"Nts:7.3,Pnoc:4.2","6430628N08Rik,Gldn,Qrfpr,Six3","Qrfpr,Nts,Six3,Ccn3","Isl1,Bcl11b,Pou6f2,Satb1,Egr3,Six3","Greb1,Nts",,,,,,,,,,CCN202307220,CS20230722_CLUS_1385,CS20230722_SUPT_0384,CS20230722_SUBC_082,CS20230722_CLAS_11
1827,1386,1386 CEA-BST Ebf1 Pdyn Gaba_1,384,CEA-BST Ebf1 Pdyn Gaba_1,0384 CEA-BST Ebf1 Pdyn Gaba_1,82,CEA-BST Ebf1 Pdyn Gaba,082 CEA-BST Ebf1 Pdyn Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,CEA BST,,"PAL:0.51,NA:0.24,sAMY:0.2","BST:0.32,CEAm:0.14,st:0.13,GPe:0.12,CEAl:0.06,PAL:0.04",36,0,0,0.58,0.42,,0.03,0.97,GABA,"Gad2:9.53,Gad1:7.79,Slc32a1:7.07",GABA,Pnoc:3.6,"Isl1,Bmpr1b,Hmcn1,Npy2r","Isl1,Bmpr1b,Hmcn1,Npy2r","Isl1,Elk3,Pou6f2,Nfia,Bcl11b,Rxrg",Nfia,,,,,,,,,,CCN202307220,CS20230722_CLUS_1386,CS20230722_SUPT_0384,CS20230722_SUBC_082,CS20230722_CLAS_11
1814,1387,1387 CEA-BST Ebf1 Pdyn Gaba_2,385,CEA-BST Ebf1 Pdyn Gaba_2,0385 CEA-BST Ebf1 Pdyn Gaba_2,82,CEA-BST Ebf1 Pdyn Gaba,082 CEA-BST Ebf1 Pdyn Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,CEA BST,,"sAMY:0.52,PAL:0.39","CEAm:0.31,BST:0.19,CEAl:0.19,PAL:0.09,SI:0.06",780,9,0,0.51,0.49,,0.16,0.84,GABA,"Gad2:10.32,Gad1:8.21,Slc32a1:7.12,Slc18a2:4.08,Ddc:3.54",GABA,"Tac1:10.2,Sst:9.3,Pdyn:6.5","Fst,Tac1,Igfbpl1,Gpr149","Pdyn,Igfbpl1,Lpl,Rorb,Gpr149","Isl1,Ebf1,Bcl11b,Rorb,Rarb,Plagl1","Gm13481,Dlk1",,,,,,,,,,CCN202307220,CS20230722_CLUS_1387,CS20230722_SUPT_0385,CS20230722_SUBC_082,CS20230722_CLAS_11
1815,1388,1388 CEA-BST Ebf1 Pdyn Gaba_2,385,CEA-BST Ebf1 Pdyn Gaba_2,0385 CEA-BST Ebf1 Pdyn Gaba_2,82,CEA-BST Ebf1 Pdyn Gaba,082 CEA-BST Ebf1 Pdyn Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,CEA BST,,"sAMY:0.39,STRd:0.26,NA:0.12,PAL:0.11","CP:0.26,CEAm:0.19,CEAl:0.14,GPe:0.11,STR:0.09,FS:0.07",103,4,0,0.4,0.6,,0.36,0.64,GABA,"Gad2:10.47,Gad1:8.45,Slc32a1:7.85,Ddc:3.52",GABA,"Tac1:9.3,Sst:6.4,Pdyn:4.4,Penk:3.7,Pnoc:3.2","Fst,Pabpc1l,Pdyn","Pax6,Pdyn,Arhgap36,Prlr","Pax6,Isl1,Ebf1,Plagl1,Zbtb16","Fst,Pax6",,,,,,,,,,CCN202307220,CS20230722_CLUS_1388,CS20230722_SUPT_0385,CS20230722_SUBC_082,CS20230722_CLAS_11
1823,1389,1389 CEA-BST Ebf1 Pdyn Gaba_2,385,CEA-BST Ebf1 Pdyn Gaba_2,0385 CEA-BST Ebf1 Pdyn Gaba_2,82,CEA-BST Ebf1 Pdyn Gaba,082 CEA-BST Ebf1 Pdyn Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,CEA BST,,"PAL:0.5,sAMY:0.5","CEAl:0.25,CEAm:0.25,BST:0.2,SI:0.15",58,0,0,0.4,0.6,,0.12,0.88,GABA,"Gad2:10.48,Gad1:8.54,Slc32a1:8.48,Ddc:3.92",GABA,"Sst:9.2,Tac1:9.2,Pdyn:7.8","Pdyn,Slc18a2,Ankrd63,Asb4","Pdyn,Isl1,Ebf1,Tacr1,Adamtsl1,Rgs6,Dgkk","Isl1,Ebf1,Mkx,Zfp831,Bcl11b,Zim1","Asb4,Dgkk,Tmem215",,,,,,,,,,CCN202307220,CS20230722_CLUS_1389,CS20230722_SUPT_0385,CS20230722_SUBC_082,CS20230722_CLAS_11
1808,1390,1390 CEA-BST Ebf1 Pdyn Gaba_3,386,CEA-BST Ebf1 Pdyn Gaba_3,0386 CEA-BST Ebf1 Pdyn Gaba_3,82,CEA-BST Ebf1 Pdyn Gaba,082 CEA-BST Ebf1 Pdyn Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,CEA BST,,"sAMY:0.58,STRd:0.18,NA:0.12","CEAl:0.35,CEAm:0.21,CP:0.18,GPe:0.05,act:0.05",141,1,0,0.47,0.53,,0.26,0.74,GABA,"Gad2:9.38,Gad1:8.01,Slc32a1:7.58",GABA,"Sst:8.2,Pdyn:6.4,Penk:6.2,Nts:4.5,Tac1:3.4","6430628N08Rik,Nts,Skap2,Drd2","Pdyn,Nts,Drd2,Htr1d,Crym","Dlx6,Ebf1,Sox8,Tox3,Zfp618,Pou6f2","Drd2,Htr2c,Dnah5",,,,,,,,,,CCN202307220,CS20230722_CLUS_1390,CS20230722_SUPT_0386,CS20230722_SUBC_082,CS20230722_CLAS_11
1809,1391,1391 CEA-BST Ebf1 Pdyn Gaba_3,386,CEA-BST Ebf1 Pdyn Gaba_3,0386 CEA-BST Ebf1 Pdyn Gaba_3,82,CEA-BST Ebf1 Pdyn Gaba,082 CEA-BST Ebf1 Pdyn Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,CEA BST,,"PAL:0.45,sAMY:0.42","CEAl:0.35,BST:0.28,GPe:0.12,STR:0.09",436,0,0,0.43,0.57,,0.18,0.82,GABA,"Gad2:9.98,Gad1:8.34,Slc32a1:6.83,Ddc:3.73",GABA,"Nts:8.9,Pdyn:8.3,Tac2:7.6,Crh:6.3,Pnoc:5.6,Sst:5.3","Tac2,Spink8,Pnoc","Tac2,Npbwr1,Crh,Ddc","Isl1,Ebf1,Sox8,Tox,Tshz2,Etv5",Tnfaip8,,,,,,,,,,CCN202307220,CS20230722_CLUS_1391,CS20230722_SUPT_0386,CS20230722_SUBC_082,CS20230722_CLAS_11
1810,1392,1392 CEA-BST Ebf1 Pdyn Gaba_3,386,CEA-BST Ebf1 Pdyn Gaba_3,0386 CEA-BST Ebf1 Pdyn Gaba_3,82,CEA-BST Ebf1 Pdyn Gaba,082 CEA-BST Ebf1 Pdyn Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,CEA BST,,"STRd:0.38,PAL:0.25,NA:0.12,STRv:0.12","CP:0.38,BST:0.12,CEAl:0.12,FS:0.12,GPe:0.12",67,0,0,0.52,0.48,,0.28,0.72,GABA,"Gad2:9.79,Gad1:7.88,Slc32a1:6.34,Ddc:3.68",GABA,"Nts:8.4,Sst:8.3,Tac2:7.6,Pdyn:7.3","Slc4a11,Tac2,Zic1","Npbwr1,Drd3,Tac2,Pou6f2","Sox8,Ebf1,Pou6f2,Zic1","Zic1,Nts",,,,,,,,,,CCN202307220,CS20230722_CLUS_1392,CS20230722_SUPT_0386,CS20230722_SUBC_082,CS20230722_CLAS_11
1811,1393,1393 CEA-BST Ebf1 Pdyn Gaba_3,386,CEA-BST Ebf1 Pdyn Gaba_3,0386 CEA-BST Ebf1 Pdyn Gaba_3,82,CEA-BST Ebf1 Pdyn Gaba,082 CEA-BST Ebf1 Pdyn Gaba,11,CNU-HYa GABA,11 CNU-HYa GABA,Subpallium-GABA;HY-EA-Glut-GABA,CEA BST,,"sAMY:0.59,STRd:0.18,NA:0.11","CEAc:0.36,CEAl:0.2,CP:0.18,STR:0.08",677,12,0,0.42,0.58,,0.23,0.77,GABA,"Gad2:9.04,Gad1:8.09,Slc32a1:6.97",GABA,"Sst:10,Pdyn:8.5","6430628N08Rik,Drd3,Sst,Prkch","Drd3,Pdyn,Ebf1,Ndst4","Sox8,Ebf1,Dlx6,Tox3,Tshz1,Tshz2","Drd3,Enpp2",,,,,,,,,,CCN202307220,CS20230722_CLUS_1393,CS20230722_SUPT_0386,CS20230722_SUBC_082,CS20230722_CLAS_11
